Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Log_Total_Income,Log_LoanAmount
LP_A02119,Female,Yes,0,Not Graduate,No,6614,3419,162,240,1.0,Semiurban,Y,10033,9.213734605044198,5.093750200806762
LP_R05304,Male,No,3+,Graduate,No,4383,679,249,120,0.0,Semiurban,N,5062,8.529714471969909,5.521460917862246
LP_A04309,Male,Yes,1,Graduate,No,5437,3483,190,360,1.0,Semiurban,Y,8920,9.096163326913784,5.25227342804663
LP_A04484,Male,No,0,Graduate,Yes,10788,3077,164,300,1.0,Semiurban,Y,13865,9.537195079502435,5.10594547390058
LP_R01013,Male,Yes,1,Graduate,No,3284,153,115,120,0.0,Rural,N,3437,8.142645185942795,4.7535901911063645
LP_A04770,Female,No,2,Graduate,Yes,7550,3447,167,240,1.0,Urban,Y,10997,9.30546871706776,5.123963979403259
LP_A02712,Female,Yes,2,Graduate,No,7472,740,150,240,1.0,Urban,Y,8212,9.013473543740192,5.017279836814924
LP_R02186,Male,Yes,2,Graduate,No,3416,1447,201,300,0.0,Rural,N,4863,8.489616423646003,5.308267697401205
LP_R06615,Male,No,2,Graduate,No,1030,129,144,180,0.0,Semiurban,N,1159,7.05617528410041,4.976733742420574
LP_R00947,Female,No,0,Not Graduate,Yes,2296,1756,188,240,0.0,Semiurban,N,4052,8.307212626628308,5.241747015059643
LP_A02545,Male,Yes,1,Graduate,No,2455,3120,198,180,1.0,Rural,Y,5575,8.62622695244036,5.293304824724492
LP_R02619,Female,Yes,1,Graduate,No,2426,249,215,360,0.0,Urban,N,2675,7.892078421248119,5.375278407684165
LP_A09851,Male,No,3+,Graduate,No,6028,1701,132,240,1.0,Semiurban,Y,7729,8.952864141581468,4.890349128221754
LP_A04410,Female,Yes,1,Graduate,Yes,11703,2624,163,300,1.0,Urban,Y,14327,9.569970943740548,5.099866427824199
LP_R09647,Female,Yes,1,Graduate,No,603,61,223,240,0.0,Semiurban,N,664,6.499787040655854,5.4116460518550396
LP_R02344,Male,No,2,Graduate,No,400,890,218,300,0.0,Urban,N,1290,7.1631723908466425,5.389071729816501
LP_R02407,Male,No,0,Graduate,No,5505,1464,163,240,0.0,Rural,N,6969,8.84937050375457,5.099866427824199
LP_A09610,Male,Yes,1,Graduate,No,5404,3451,105,300,1.0,Rural,Y,8855,9.088850474388472,4.663439094112067
LP_R00718,Male,No,3+,Graduate,No,400,0,260,120,0.0,Semiurban,N,400,5.993961427306569,5.564520407322694
LP_A07571,Female,No,3+,Not Graduate,No,4850,1166,176,360,0.0,Semiurban,Y,6016,8.702344075220351,5.176149732573829
LP_A03570,Male,Yes,0,Graduate,No,7594,1239,170,180,0.0,Rural,Y,8833,9.086363192156472,5.14166355650266
LP_A08602,Female,Yes,0,Not Graduate,Yes,6458,2067,119,300,1.0,Semiurban,Y,8525,9.050875597325156,4.787491742782046
LP_A03559,Female,No,3+,Graduate,No,8188,1214,124,360,1.0,Urban,Y,9402,9.148784066277077,4.8283137373023015
LP_A04991,Male,Yes,2,Not Graduate,No,7496,904,103,360,1.0,Rural,Y,8400,9.036106025364846,4.6443908991413725
LP_A07439,Female,Yes,2,Graduate,Yes,8057,2285,202,240,1.0,Semiurban,Y,10342,9.244065241377804,5.313205979041787
LP_A09325,Female,No,2,Graduate,No,7612,2238,108,360,1.0,Semiurban,Y,9850,9.19532825185568,4.6913478822291435
LP_A02300,Male,Yes,0,Graduate,No,8760,2023,126,360,1.0,Urban,Y,10783,9.285818833152089,4.844187086458591
LP_A07666,Male,No,2,Graduate,No,1241,4085,131,360,1.0,Urban,Y,5326,8.580543506917,4.882801922586371
LP_A05804,Male,No,0,Not Graduate,No,5491,101,199,360,1.0,Semiurban,Y,5592,8.629271094821588,5.298317366548036
LP_R02022,Male,No,2,Not Graduate,No,3184,0,255,120,0.0,Urban,N,3184,8.066207568006265,5.545177444479562
LP_R05537,Female,No,2,Not Graduate,No,3686,133,311,120,0.0,Semiurban,N,3819,8.24800570160062,5.7430031878094825
LP_A09757,Female,Yes,0,Not Graduate,No,6436,1763,133,360,1.0,Urban,Y,8199,9.011889433252344,4.897839799950911
LP_R02014,Male,Yes,0,Graduate,Yes,3294,1207,248,240,0.0,Rural,N,4501,8.412277021466677,5.517452896464707
LP_A05211,Male,Yes,0,Graduate,No,10320,1950,186,360,1.0,Semiurban,Y,12270,9.414994033976548,5.231108616854587
LP_R01548,Female,No,3+,Graduate,Yes,4169,0,286,240,0.0,Urban,N,4169,8.335671314792847,5.659482215759621
LP_R02366,Female,No,1,Not Graduate,Yes,2301,2184,161,240,0.0,Rural,N,4485,8.408716715080153,5.087596335232384
LP_A09270,Female,Yes,1,Graduate,No,10522,2443,132,360,1.0,Urban,Y,12965,9.470085825734941,4.890349128221754
LP_A03975,Male,Yes,2,Graduate,Yes,6163,3547,160,120,1.0,Urban,Y,9710,9.181014542594355,5.081404364984463
LP_R06090,Male,No,0,Graduate,No,2078,0,190,240,0.0,Rural,N,2078,7.639642287858013,5.25227342804663
LP_R07232,Female,No,2,Graduate,No,2039,0,194,360,0.0,Semiurban,N,2039,7.620705086838262,5.272999558563747
LP_R07443,Male,Yes,1,Not Graduate,No,497,0,147,180,0.0,Rural,N,497,6.210600077024653,4.997212273764115
LP_R03656,Male,No,2,Not Graduate,Yes,4476,409,202,240,0.0,Rural,N,4885,8.494129251817686,5.313205979041787
LP_R05645,Female,No,2,Graduate,No,1971,1320,143,240,0.0,Rural,N,3291,8.09925056179696,4.969813299576001
LP_A02730,Male,Yes,0,Graduate,No,6115,3332,100,240,1.0,Urban,Y,9447,9.153558357877198,4.61512051684126
LP_A03298,Female,Yes,0,Graduate,No,2389,3595,165,360,1.0,Semiurban,Y,5984,8.697011617992073,5.111987788356544
LP_A08956,Male,Yes,1,Graduate,No,9368,10,132,360,1.0,Urban,Y,9378,9.146228426508939,4.890349128221754
LP_R07410,Male,Yes,0,Not Graduate,Yes,4829,856,294,120,0.0,Urban,N,5685,8.645762292210945,5.68697535633982
LP_R05155,Male,No,1,Graduate,No,1565,1718,176,180,0.0,Semiurban,N,3283,8.096817470572319,5.176149732573829
LP_R07276,Female,No,3+,Graduate,No,1207,1511,251,180,1.0,Semiurban,N,2718,7.908019444632471,5.529429087511423
LP_A06703,Female,Yes,0,Graduate,Yes,3720,1785,106,360,1.0,Urban,Y,5505,8.613593685702552,4.672828834461906
LP_A01968,Male,Yes,1,Graduate,No,9259,2202,121,180,1.0,Urban,Y,11461,9.346792495111682,4.804021044733257
LP_A04936,Male,Yes,1,Not Graduate,No,9990,2676,205,180,1.0,Rural,Y,12666,9.446755465483632,5.327876168789581
LP_A02112,Female,Yes,0,Not Graduate,No,7077,683,107,360,1.0,Rural,Y,7760,8.95686647085414,4.68213122712422
LP_A00878,Male,Yes,0,Graduate,No,5174,2851,76,300,1.0,Urban,Y,8025,8.990441550826862,4.343805421853684
LP_R09075,Male,No,0,Graduate,No,4064,136,287,180,0.0,Rural,N,4200,8.343077871169383,5.662960480135946
LP_R02989,Male,Yes,1,Not Graduate,Yes,5556,910,303,240,0.0,Semiurban,N,6466,8.774467601446593,5.717027701406222
LP_A07277,Female,Yes,3+,Graduate,No,12188,3602,100,360,1.0,Semiurban,Y,15790,9.667195436466644,4.61512051684126
LP_A05709,Male,Yes,3+,Graduate,No,3588,3400,138,300,1.0,Rural,Y,6988,8.85209276347713,4.9344739331306915
LP_R02078,Male,No,1,Graduate,Yes,2868,485,214,360,0.0,Semiurban,N,3353,8.117908942383155,5.3706380281276624
LP_A06687,Female,No,3+,Graduate,No,9505,2246,117,180,1.0,Semiurban,Y,11751,9.371778717853713,4.770684624465665
LP_A06418,Female,No,0,Graduate,Yes,9676,4207,206,360,1.0,Semiurban,Y,13883,9.538492376981678,5.332718793265369
LP_R00431,Female,No,1,Graduate,No,2296,0,203,240,0.0,Semiurban,N,2296,7.739359202689098,5.318119993844216
LP_A09982,Female,No,1,Graduate,No,10666,1322,109,240,1.0,Rural,Y,11988,9.391744841707654,4.700480365792417
LP_R09073,Male,No,2,Not Graduate,Yes,2441,240,165,300,0.0,Semiurban,N,2681,7.894318063841624,5.111987788356544
LP_A04629,Male,Yes,1,Not Graduate,Yes,9799,2268,111,360,1.0,Semiurban,Y,12067,9.398312600278953,4.718498871295094
LP_A08862,Male,Yes,1,Graduate,No,7275,2229,116,360,1.0,Rural,Y,9504,9.15957325492253,4.762173934797756
LP_A04667,Female,Yes,0,Not Graduate,No,3302,1904,186,360,1.0,Semiurban,Y,5206,8.557759153162898,5.231108616854587
LP_R04163,Female,No,0,Not Graduate,No,1713,1955,198,120,1.0,Rural,N,3668,8.207674424355282,5.293304824724492
LP_A00385,Female,Yes,1,Graduate,No,3698,1848,201,360,1.0,Urban,Y,5546,8.621012520055235,5.308267697401205
LP_A04186,Female,No,2,Graduate,No,8302,2223,124,120,1.0,Rural,Y,10525,9.261603665913725,4.8283137373023015
LP_A05345,Female,Yes,1,Graduate,No,4819,2381,73,360,1.0,Urban,Y,7200,8.881975184248867,4.30406509320417
LP_A02195,Female,Yes,0,Graduate,Yes,4584,2339,132,300,1.0,Urban,Y,6923,8.8427489162961,4.890349128221754
LP_R04990,Male,Yes,2,Graduate,No,400,0,215,300,0.0,Rural,N,400,5.993961427306569,5.375278407684165
LP_R02634,Male,Yes,0,Not Graduate,No,5345,653,163,360,0.0,Semiurban,N,5998,8.699348067653093,5.099866427824199
LP_A01077,Male,Yes,0,Graduate,No,9417,1963,215,360,1.0,Urban,Y,11380,9.33970057728189,5.375278407684165
LP_A06286,Male,No,1,Graduate,No,7654,1043,155,120,1.0,Semiurban,Y,8697,9.070848393157585,5.049856007249537
LP_A05933,Female,No,1,Graduate,No,5311,4419,173,360,1.0,Semiurban,Y,9730,9.18307194482199,5.159055299214529
LP_R08512,Female,No,0,Not Graduate,No,6018,655,242,240,0.0,Semiurban,N,6673,8.80597465931132,5.493061443340548
LP_R09717,Male,Yes,1,Not Graduate,No,3813,2079,257,360,1.0,Urban,N,5892,8.681520484837913,5.552959584921617
LP_R03363,Female,Yes,3+,Not Graduate,Yes,400,605,224,180,0.0,Semiurban,N,1005,6.913737350659685,5.41610040220442
LP_A08072,Male,Yes,0,Graduate,No,6853,2563,137,360,1.0,Urban,Y,9416,9.150271845510064,4.927253685157205
LP_R07020,Female,No,2,Graduate,No,3118,1327,226,180,0.0,Semiurban,N,4445,8.399760094524142,5.424950017481403
LP_A09543,Female,Yes,1,Graduate,No,1623,3852,95,360,1.0,Urban,Y,5475,8.60813018640834,4.564348191467836
LP_R09094,Female,Yes,1,Not Graduate,Yes,3844,807,237,180,0.0,Rural,N,4651,8.445052513638554,5.472270673671475
LP_R03355,Male,No,0,Not Graduate,Yes,3649,1246,250,240,0.0,Urban,N,4895,8.496173824192162,5.5254529391317835
LP_R08631,Female,Yes,2,Graduate,No,2241,0,229,240,0.0,Urban,N,2241,7.715123603632105,5.438079308923196
LP_A02848,Male,Yes,0,Graduate,No,4366,2653,159,360,1.0,Rural,Y,7019,8.856518497019858,5.075173815233827
LP_R02791,Male,No,2,Not Graduate,No,1798,0,287,360,1.0,Semiurban,N,1798,7.4949862339505335,5.662960480135946
LP_A07722,Male,No,0,Graduate,No,4907,3510,156,120,1.0,Urban,Y,8417,9.038127549330516,5.056245805348308
LP_A00812,Male,No,1,Graduate,No,6842,3474,122,360,1.0,Urban,Y,10316,9.241548299100376,4.812184355372417
LP_R01193,Male,Yes,2,Graduate,No,2479,535,174,360,0.0,Semiurban,N,3014,8.011355109161286,5.1647859739235145
LP_A05135,Male,Yes,0,Graduate,No,9138,712,215,300,0.0,Urban,Y,9850,9.19532825185568,5.375278407684165
LP_A08510,Female,Yes,0,Graduate,No,6099,538,194,360,1.0,Urban,Y,6637,8.80056599227992,5.272999558563747
LP_A07434,Female,Yes,0,Graduate,No,8802,3759,79,360,1.0,Rural,Y,12561,9.438431663014326,4.382026634673881
LP_R06476,Female,Yes,1,Not Graduate,No,1908,537,181,300,0.0,Semiurban,N,2445,7.802209316247118,5.204006687076795
LP_A00936,Female,Yes,0,Graduate,No,5594,1190,105,300,1.0,Rural,Y,6784,8.82246957226897,4.663439094112067
LP_R01965,Female,No,1,Graduate,No,2899,0,87,240,0.0,Urban,N,2899,7.9724660159745655,4.477336814478207
LP_A01692,Female,Yes,2,Not Graduate,No,4995,718,187,360,1.0,Rural,Y,5713,8.65067458279072,5.236441962829949
LP_A06216,Female,Yes,1,Graduate,Yes,9664,2530,144,360,1.0,Rural,Y,12194,9.40878131065002,4.976733742420574
LP_A09459,Male,No,1,Graduate,No,7099,521,133,360,0.0,Urban,Y,7620,8.938662873666118,4.897839799950911
LP_R02527,Female,No,0,Graduate,Yes,2083,1349,234,300,0.0,Urban,N,3432,8.141189793457691,5.459585514144159
LP_R05484,Female,Yes,0,Graduate,Yes,4093,0,164,180,0.0,Urban,N,4093,8.317277766221235,5.10594547390058
LP_A05792,Male,No,1,Graduate,No,7912,0,126,360,1.0,Semiurban,Y,7912,8.976262255609193,4.844187086458591
LP_R02266,Female,No,0,Not Graduate,No,2468,1084,225,240,0.0,Semiurban,N,3552,8.175547596021026,5.420534999272286
LP_A02221,Male,Yes,0,Graduate,No,1745,2749,179,360,1.0,Urban,Y,4494,8.410720946905721,5.19295685089021
LP_R05757,Female,No,3+,Graduate,No,3673,27,192,120,0.0,Urban,N,3700,8.216358332386156,5.262690188904886
LP_A04693,Female,No,0,Graduate,No,7005,4055,131,360,0.0,Rural,Y,11060,9.311180686902254,4.882801922586371
LP_R00108,Female,Yes,1,Not Graduate,No,5335,1202,85,360,0.0,Rural,N,6537,8.785386587284156,4.454347296253507
LP_A05107,Female,Yes,2,Graduate,No,2103,1346,134,180,1.0,Urban,Y,3449,8.146129510025405,4.90527477843843
LP_R03480,Female,No,1,Not Graduate,No,2898,411,65,240,0.0,Urban,N,3309,8.104703468371108,4.189654742026425
LP_A04745,Male,Yes,1,Not Graduate,Yes,9487,867,95,360,1.0,Rural,Y,10354,9.245224773829685,4.564348191467836
LP_A01604,Female,Yes,0,Not Graduate,No,8250,1466,161,360,1.0,Rural,Y,9716,9.181632207839439,5.087596335232384
LP_R07395,Female,No,2,Graduate,Yes,3252,220,167,240,0.0,Rural,N,3472,8.152774052744075,5.123963979403259
LP_R06863,Male,Yes,2,Graduate,Yes,1206,279,223,300,0.0,Urban,N,1485,7.303843225277705,5.4116460518550396
LP_A08213,Female,No,0,Graduate,No,11270,0,27,360,1.0,Semiurban,Y,11270,9.329988334242078,3.332204510175204
LP_A01092,Female,Yes,1,Graduate,Yes,6586,1535,119,360,1.0,Rural,Y,8121,9.002331708246244,4.787491742782046
LP_R03884,Female,Yes,1,Not Graduate,Yes,3724,1369,84,300,0.0,Semiurban,N,5093,8.535818655539403,4.442651256490317
LP_A06311,Male,Yes,2,Not Graduate,Yes,1000,2202,164,360,1.0,Rural,Y,3202,8.071843149609158,5.10594547390058
